word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
acceptance,n,Non-STE (not approved),,,ACCEPT (v),ACCEPT (v),,"BEFORE YOU ACCEPT THE UNIT, DO THE SPECIFIED TEST PROCEDURE.","Before acceptance of the unit, do the specified test procedure.",2-1-A4
ACCESS,n,STE (approved),,The ability to go into or near,,The ability to go into or near,,GET ACCESS TO THE ACCUMULATOR FOR THE No. | 1 HYDRAULIC SYSTEM.,,2-1-A4
accessible,adj,Non-STE (not approved),,,ACCESS (n),ACCESS (n),,TURN THE COVER UNTIL YOU CAN GET ACCESS TO THE JACKS THAT HAVE + AND - MARKS.,Rotate the cover until the jacks marked by + and - are accessible.,2-1-A4
ACCIDENT,n,STE (approved),,An occurrence that causes injury or damage,,An occurrence that causes injury or damage,,"TO PREVENT ACCIDENTS, MAKE SURE THAT THE PINS ARE INSTALLED.",,2-1-A4
ACCIDENTAL,adj,STE (approved),,That does not occur on purpose,,That does not occur on purpose,,"TO PREVENT ACCIDENTAL OPERATION OF THE SYSTEM, INSTALL THE SAFETY LOCK.",,2-1-A5
ACCIDENTALLY,adv,STE (approved),,That does not occur on purpose,,That does not occur on purpose,,"IF YOU ACCIDENTALLY MOVE THE LEVER, SET THE SYSTEM TO THE NEUTRAL POSITION AGAIN.",,2-1-A5
accommodate,v,Non-STE (not approved),,,LET (v),LET (v),,DIFFERENT LENGTHS OF STUDS LET YOU ATTACH DIFFERENT THICKNESSES OF SKIN.,Studs are available in different lengths to accommodate different thicknesses of skin.,2-1-A5
accomplish,v,Non-STE (not approved),,,DO (v) | COMPLETE (v),DO (v) COMPLETE (v),You can use a more accurate verb.,DO THIS TASK FIRST. | THE PERSONNEL MUST COMPLETE THIS TASK IN 30 MINUTES.,This task must be accomplished first. | The personnel must accomplish this task in 30 minutes.,2-1-A5
according to,prep,Non-STE (not approved),,,REFER (v),REFER (v),,"TO CALIBRATE THE TEST SET, REFER TO THE MANUFACTURER'S INSTRUCTIONS.",Calibrate the test set according to the manufacturer's instructions.,2-1-A5
account for,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,MAKE SURE THAT YOU REMOVE ALL TOOLS AND EQUIPMENT.,All tools and equipment must be accounted for.,2-1-A5
accumulate,v,Non-STE (not approved),,,COLLECT (v),COLLECT (v),,"IF WATER COLLECTS IN THE FILLER LINE, DRAIN IT.","If water accumulates in the filler line, drain it.",2-1-A5
accumulation,n,Non-STE (not approved),,,QUANTITY (n) | COLLECT (v),QUANTITY (n) COLLECT (v),,"REMOVE LARGE QUANTITIES OF CONTAMINATION. | IF FUEL COLLECTS FREQUENTLY, EXAMINE THE PIPE FOR LEAKS.","Large accumulations of contamination must be removed. | If accumulation of fuel is frequent, examine the pipe for leaks.",2-1-A5
accuracy,n,Non-STE (not approved),,,PRECISION (n),PRECISION (n),,THE PRECISION OF THE ADJUSTMENT CAN CHANGE.,The accuracy of the adjustment can vary.,2-1-A6
ACCURATE,adj,STE (approved),,Exact,,Exact,,THE ADJUSTMENT MUST BE ACCURATE.,,2-1-A6
ACCURATELY,adv,STE (approved),,Exactly,,Exactly,,PUT THE REPAIR SHEET ACCURATELY ON THE DAMAGED AREA.,,2-1-A6
achieve,v,Non-STE (not approved),,,GET (v),GET (v),,SET THE CONTROL TO GET MAXIMUM THRUST.,Set the control to achieve maximum thrust.,2-1-A6
acquire,v,Non-STE (not approved),,,GET (v),GET (v),,THE COMPUTER GETS THIS DATA FROM FIVE SENSORS.,The computer acquires this data from five sensors.,2-1-A6
acrid,adj,Non-STE (not approved),,,DANGEROUS (adj),DANGEROUS (adj),,THIS MATERIAL RELEASES DANGEROUS FUMES WHEN IT TOUCHES HOT SURFACES.,"On contact with hot surfaces, this material produces acrid fumes.",2-1-A6
ACROSS,prep,STE (approved),,From one side to the other side,,From one side to the other side,,SAFETY THE CLAMP BLOCK ACROSS THE CONTROL LEVER FORKS WITH SAFETY WIRE.,,2-1-A6
act,v,Non-STE (not approved),,,,,Use an accurate verb.,THE HYDRAULIC FLUID FLOW OPENS THE VALVE.,The hydraulic fluid flow acts on the valve.,2-1-A6
action,n,Non-STE (not approved),,,STEP (n) | PROCEDURE (n) | TASK (n),STEP (n) PROCEDURE (n) TASK (n),,DO THE STEPS THAT FOLLOW: DO NOT DO THIS PROCEDURE IN THE HANGAR. | DO THIS TASK OUTDOORS.,Do the following actions: This action must not be done in the hangar: Do this action outdoors.,2-1-A6
ACTIVATE,v,STE (approved),,"To make a system, function, or feature ready for operation",START (v),"To make a system, function, or feature ready for operation START (v)","For other meanings, use:",THE AUTOPILOT ACTIVATES THE APPROACH MODE. | START THE MOTOR.,Activate the motor.,2-1-A6
ACTIVE,adj,STE (approved),,"A system, function, or feature in a state of action",,"A system, function, or feature in a state of action",,DOWNLOAD THE EXPORT FILE FROM THE ACTIVE SERVER UNIT.,,2-1-A7
activity,n,Non-STE (not approved),,,TASK (n) | PROCEDURE (n) | WORK (n),TASK (n) PROCEDURE (n) WORK (n),,A SUBCONTRACTOR CAN DO THESE MAINTENANCE TASKS. | DO THIS PROCEDURE AT THE AMBIENT TEMPERATURE. | DO THIS WORK IN A CLEAN AREA.,These maintenance activities can be done by a subcontractor. | Do this activity at the ambient temperature. | Do this activity in a clean area.,2-1-A7
actuate,v,Non-STE (not approved),,,START (v) | OPERATE (v) | PUSH (v),START (v) OPERATE (v) PUSH (v),,START THE MOTOR. | OPERATE THE HAND PUMP. | PUSH THE PUSHBUTTON SWITCH.,Actuate the motor. | Actuate the hand pump. | Actuate the pushbutton switch.,2-1-A7
actuation,n,Non-STE (not approved),,,OPERATION (n),OPERATION (n),,MONITOR THE OPERATION OF THE STEERING MOTOR.,Monitor the actuation of the steering motor.,2-1-A7
ADAPT,v,STE (approved),"ADAPTS, ADAPTED, ADAPTED",To change or adjust to that which is necessary,,To change or adjust to that which is necessary,,ADAPT THE PRESSURE CONNECTION TO THE PITOT HEAD. | THE SYSTEM INTERFACE CIRCUITS ADAPT TO THE PHYSICAL PROPERTIES OF THE CONNECTED SYSTEMS.,,2-1-A7
ADD,v,STE (approved),"ADDS, ADDED, ADDED","To increase the number, dimension, or quantity",,"To increase the number, dimension, or quantity",,ADD 5 ml OF HARDENER TO THE COMPOUND.,,2-1-A7
addition,n,Non-STE (not approved),,,ADD (v),ADD (v),,"TO GET THE CORRECT CLEARANCE, ADD SPECIAL SHIMS, AS NECESSARY.","Adjust the clearance by the addition of special shims, as necessary.",2-1-A7
additional,adj,Non-STE (not approved),,,MORE (adj),MORE (adj),,THIS CHAPTER GIVES MORE INFORMATION ABOUT SAFETY.,This chapter gives additional information about safety.,2-1-A8
