word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
disregard,v,Non-STE (not approved),,,IGNORE (v),IGNORE (v),,"DO THE GENERATOR DRIVE TEST, BUT IGNORE STEPS 16 THRU 20.","Perform the generator drive test, but disregard steps 16 thru 20.",2-1-D15
DISTANCE,n,STE (approved),,The dimension between two points or objects,,The dimension between two points or objects,,MEASURE THE DISTANCE BETWEEN POINTS “A” AND “B.”,,2-1-D15
distinct,adj,Non-STE (not approved),,,CLEAR (adj),CLEAR (adj),,MAKE SURE THAT THE SOUND IS CLEAR.,Ensure the sound is distinct.,2-1-D15
distinctly,adv,Non-STE (not approved),,,CLEARLY (adv),CLEARLY (adv),,ADJUST THE VOLUME UNTIL YOU HEAR THE SOUND CLEARLY.,You must adjust the volume until you hear the sound distinctly.,2-1-D15
distort,v,Non-STE (not approved),,,TWIST (v),TWIST (v),,"WHEN YOU TURN THE CONNECTORS, DO NOT TWIST THE PIPE.",Do not distort the pipe when turning the connectors.,2-1-D15
distribute,v,Non-STE (not approved),,,APPLY (v) | SUPPLY (v),APPLY (v) SUPPLY (v),,APPLY THE LOAD EQUALLY ON THE AREA. | THE SYSTEM SUPPLIES HYDRAULIC POWER.,Distribute the load evenly over the area. | The system distributes hydraulic power.,2-1-D15
distribution,n,Non-STE (not approved),,,SUPPLY (n),SUPPLY (n),,THE FUEL SUPPLY IS FROM THE COLLECTOR TANKS.,The fuel distribution is from the collector tanks.,2-1-D15
disturb,v,Non-STE (not approved),,,MOVE (v) | CHANGE (v),MOVE (v) CHANGE (v),,"WHEN YOU INSTALL THE DISTRIBUTOR, DO NOT MOVE THE TIMING. | DO NOT CHANGE THE SEQUENCE OF THE WORK STEPS IN THE TEST.",Do not disturb the timing during the distributor installation. | Do not disturb the sequence of the work steps in the test.,2-1-D15
DIVIDE,v,STE (approved),"DIVIDES, DIVIDED, DIVIDED",1. To separate into parts or groups 2. To do mathematical division,,1. To separate into parts or groups 2. To do mathematical division,,"YOU CAN DIVIDE THE DRAINS INTO THREE GROUPS. | THE PRESSURE LINES DIVIDE AND GO IN DIFFERENT DIRECTIONS. | TO FIND THE MIDDLE POINT, DIVIDE THE MEASURED CLEARANCE BY TWO.",,2-1-D16
DO,v,STE (approved),"DOES, DID, DONE","1. To complete a procedure, task, or step 2. As an auxiliary verb a. As part of a b. As part of a",,"1. To complete a procedure, task, or step 2. As an auxiliary verb a. As part of a b. As part of a",negative command or statement question,DO A FUNCTIONAL TEST. | DO NOT BREATHE THE SOLVENT FUMES. | DOES THE LIGHT COME ON?,,2-1-D16
don,v,Non-STE (not approved),,,USE (v) | PUT ON (v),USE (v) PUT ON (v),,"WHEN YOU DO WORK ON FIRE EXTINGUISHERS, USE PROTECTIVE GOGGLES. | PUT ON THE MASK.",You must don protective goggles when working on fire extinguishers. | Don the mask.,2-1-D16
doubt,n,Non-STE (not approved),,,NOT SURE | THINK (v),NOT SURE THINK (v),,"IF YOU ARE NOT SURE THAT THE UNIT IS SERVICEABLE, DISCARD IT. | IF YOU THINK THAT THE RESULTS ARE INCORRECT, DO THE TEST AGAIN.","If there are doubts about the serviceability of the unit, discard it. | If you are in doubt about the results, repeat the test.",2-1-D16
DOWN,adj,STE (approved),,In a position below,,In a position below,,MAKE SURE THAT THE ANCHOR IS DOWN.,,2-1-D17
DOWN,adv,STE (approved),,To a position below,,To a position below,,THE POINTER MOVES DOWN.,,2-1-D17
DOWN,prep,STE (approved),,To a position below,,To a position below,,LET THE SLEEVE MOVE DOWN THE GUIDE TUBE.,,2-1-D17
DOWNSTREAM,adj,STE (approved),,In the direction of the flow,,In the direction of the flow,,DISCONNECT THE DOWNSTREAM CONNECTION.,,2-1-D17
DOWNSTREAM,adv,STE (approved),DOWNSTREAM,In the direction of the flow In the direction of the,,In the direction of the flow In the direction of the,,MOVE THE PROBE DOWNSTREAM AND MONITOR THE TEMPERATURE AGAIN. | DISCONNECT THE,,2-1-D17
OF,prep,STE (approved),,flow,,flow,,CONNECTION WHICH IS DOWNSTREAM OF THE VALVE.,,2-1-D17
downward,adv,Non-STE (not approved),,,DOWN (adv),DOWN (adv),,MAKE SURE THAT THE AIR OUTLET POINTS DOWN.,Make sure that the air outlet is positioned downward.,2-1-D17
drag,v,Non-STE (not approved),,,PULL (v),PULL (v),,PULL THE WIRES THROUGH THE CONDUIT.,Drag the wires through the conduit.,2-1-D17
DRAIN,v,STE (approved),"DRAINS, DRAINED, DRAINED",To remove liquid,,To remove liquid,,DRAIN THE SYSTEM FULLY.,,2-1-D17
draw,v,Non-STE (not approved),,,MAKE (v) | PULL (v),MAKE (v) PULL (v),,MAKE A LINE ON THE BLADE. | PULL THE WIRE OUT OF THE CONDUIT.,Draw a line on the blade. | Draw the wire out of the conduit.,2-1-D17
dress,v,Non-STE (not approved),,,USE (v) | PUT ON (v),USE (v) PUT ON (v),,"BEFORE YOU GO INTO THE WORK AREA, USE THE NECESSARY PROTECTIVE CLOTHING. | BEFORE YOU GO NEAR THE TEST RIG, PUT ON THE NECESSARY PROTECTIVE CLOTHING.",Dress suitably before going into the work area. | Dress appropriately before going near the test rig.,2-1-D18
drift,v,Non-STE (not approved),,,MOVE (v) | REMOVE (v) (WITH A DRIFT [TN]),MOVE (v) REMOVE (v) (WITH A DRIFT [TN]),,THE HORIZON BAR CAN MOVE A SMALL DISTANCE. | REMOVE THE PIN FROM ITS HOLE. | USE A DRIFT.,The horizon bar may drift slightly. | Drift the pin from its hole.,2-1-D18
DRINK,v,STE (approved),"DRINKS, DRANK,",To consume liquid,SWALLOW (v),To consume liquid SWALLOW (v),"For safety instructions, use: No other verb forms.",DO NOT DRINK IN THE WORK AREA. | DO NOT SWALLOW THE SOLVENT.,Do not drink the solvent.,2-1-D18
drive,v,Non-STE (not approved),,,MOVE (v) | REMOVE (v) | OPERATE (v),MOVE (v) REMOVE (v) OPERATE (v),,THE ACTUATOR MOVES TO ZERO. | REMOVE THE LOCKBOLT FROM THE HOLE. | A HYDRAULIC MOTOR OPERATES THE PUMP.,The actuator is driven to zero. | Drive the lockbolt out of the hole. | A hydraulic motor drives the pump.,2-1-D18
droop,v,Non-STE (not approved),,,MOVE (v),MOVE (v),,"IF YOU DO NOT INSTALL THE RIGGING PIN, THE ELEVATORS WILL MOVE DOWN WHEN THERE IS NO PRESSURE IN THE SYSTEM.","If you do not install the rigging pin, the elevators will droop when there is no pressure in the system.",2-1-D18
DROP,n,STE (approved),,A small quantity of liquid in a spherical shape,,A small quantity of liquid in a spherical shape,,MAKE SURE THAT NO DROPS OF ADHESIVE FALL ONTO THE MATERIAL.,,2-1-D18
drop,v,Non-STE (not approved),,,FALL (v) | DECREASE (v),FALL (v) DECREASE (v),,PARTICLES THAT FALL INTO THE INTAKE CAN CAUSE DAMAGE. | THE PRESSURE DECREASES WHILE THE TIRES BECOME COOL.,Particles that drop into the intake may cause damage. | The pressure drops as the tires cool.,2-1-D19
DRY,adj,STE (approved),"DRIER, DRIEST",Without liquid or moisture,,Without liquid or moisture,,MAKE SURE THAT THE SURFACE IS DRY.,,2-1-D19
DRY,v,STE (approved),"DRIES, DRIED, DRIED","To remove liquid or moisture, or to become dry",,"To remove liquid or moisture, or to become dry",,DRY THE FILTER IN AN OVEN. | LET THE PAINT DRY AT THE AMBIENT TEMPERATURE.,,2-1-D19
due to,prep,Non-STE (not approved),,,BECAUSE OF (prep) | BECAUSE (conj),BECAUSE OF (prep) BECAUSE (conj),,"BECAUSE OF THE SMALL DIAMETER OF THE HOLE, THE FLOW IS LOW. | THE SHAFT MOVED BECAUSE THE ACTUATOR OPERATED.","Due to the small diameter of the hole, the flow is low. | The shaft moved due to the actuator action.",2-1-D19
dull,adj,Non-STE (not approved),,,DIM (adj) | MATT (adj),DIM (adj) MATT (adj),,THE LAMP COMES ON WITH A DIM LIGHT. | THE LETTERS WILL BE MATT BLACK ON WHITE.,The lamp comes on with a dull light. | The letters will be dull black on a white background.,2-1-D19
duration,n,Non-STE (not approved),,,DURING (prep),DURING (prep),,DO NOT MAKE ADJUSTMENTS DURING THIS TEST.,Do not make adjustments for the duration of this test.,2-1-D19
DURING,prep,STE (approved),,In or for a specified time,,In or for a specified time,,MONITOR THE INDICATIONS DURING THE RETRACTION TEST.,,2-1-D19
dust,v,Non-STE (not approved),,,APPLY (v),APPLY (v),,APPLY TALCUM POWDER TO THE AREA. | Blank Page,Dust the area with talcum powder.,2-1-D19
EACH,adj,STE (approved),,"Every one of two or more objects or persons, seen together as a group but identified separately",,"Every one of two or more objects or persons, seen together as a group but identified separately",,MAKE SURE THAT THE SWITCH IN EACH PANEL IS SET TO “OFF.”,,2-1-E1
EACH,pron,STE (approved),,"Every one of two or more objects or persons, seen together as a group but identified separately",,"Every one of two or more objects or persons, seen together as a group but identified separately",,"INSTALL TWO SPACERS, EACH WITH A THICKNESS OF 3.5 mm.",,2-1-E1
EACH OTHER,pron,STE (approved),,Each of two or more in reciprocal action or relation,,Each of two or more in reciprocal action or relation,,"WHEN YOU REMOVE THE PROBES, DO NOT LET THEM TOUCH EACH OTHER.",,2-1-E1
early,adj,Non-STE (not approved),,,SHORT (adj),SHORT (adj),,"IF THE FILTERS BECOME CLOGGED AFTER AN UNUSUALLY SHORT TIME, SEND THEM TO THE LABORATORY FOR ANALYSIS OF THE CONTAMINATION.","If the filters clog at an unusually early stage, send them to the laboratory for analysis of the contamination.",2-1-E1
earth,n,Non-STE (not approved),,,GROUND (n),GROUND (n),,MAKE SURE THAT THE ELECTRICAL SUPPLY GOES TO GROUND.,Make sure the electric supply goes to earth.,2-1-E1
earth,v,Non-STE (not approved),,,GROUND (v),GROUND (v),,MAKE SURE THAT THE FUEL TANKS ARE CORRECTLY GROUNDED.,Make sure the fuel tanks are correctly earthed.,2-1-E1
ease,n,Non-STE (not approved),,,EASILY (adv) | EASY (adj),EASILY (adv) EASY (adj),,MAKE SURE THAT YOU CAN MOVE THE HANDLE EASILY. | MAKE SURE THAT IT IS EASY TO MOVE THE HANDLE.,The handle must move with ease. | The handle must move with ease.,2-1-E1
ease,v,Non-STE (not approved),,,CAREFULLY REMOVE CAREFULLY MOVE,CAREFULLY REMOVE CAREFULLY MOVE,,CAREFULLY REMOVE THE TRIM COVER FROM THE ADHESIVE TAPE. | CAREFULLY MOVE THE PIPE INTO THE CORRECT POSITION.,Ease the trim cover from the adhesive tape. | Ease the pipe into the right position.,2-1-E1
EASILY,adv,STE (approved),,Without difficulty,,Without difficulty,,OXIDATION OCCURS VERY EASILY.,,2-1-E2
EASY,adj,STE (approved),"EASIER, EASIEST",Without difficulty,,Without difficulty,,USE THE LEFT OPENING FOR EASY ACCESS.,,2-1-E2
EAT,v,STE (approved),"EATS, ATE",To consume food,SWALLOW (v),To consume food SWALLOW (v),"For safety instructions, use: No other verb forms.",DO NOT EAT IN THE WORK AREA. | DO NOT SWALLOW THE POTTING COMPOUND.,Do not eat the potting compound.,2-1-E2
EDGE,n,STE (approved),,A line that is the intersection of two surfaces of a solid object,,A line that is the intersection of two surfaces of a solid object,,THE DISTANCE BETWEEN THE EDGE OF THE PANEL AND THE PARTITION MUST NOT BE MORE THAN 0.05 mm.,,2-1-E2
EFFECT,n,STE (approved),,The result of a cause,,The result of a cause,,"WHEN DUST MIXES WITH OIL, IT HAS AN ABRASIVE EFFECT.",,2-1-E2
effect,v,Non-STE (not approved),,,DO (v),DO (v),,DO THE TIGHTENING PROCEDURE.,Effect the tightening procedure.,2-1-E2
effective,adj,Non-STE (not approved),,,GOOD (adj),GOOD (adj),,THIS MATERIAL GIVES GOOD PROTECTION FROM CORROSION.,This material provides effective protection from corrosion.,2-1-E2
efficacious,adj,Non-STE (not approved),,,GOOD (adj),GOOD (adj),,THIS IS A GOOD PROCEDURE TO REMOVE PAINT.,This is an efficacious way to remove paint.,2-1-E2
efficient,adj,Non-STE (not approved),,,SATISFACTORY (adj),SATISFACTORY (adj),,THE TRANSMISSION CONTROL PROTOCOL IS NOT SATISFACTORY FOR THE TRANSMISSION OF INTERACTIVE TRAFFIC.,The Transmission Control Protocol is not efficient for the transmission of interactive traffic.,2-1-E2
efficiently,adv,Non-STE (not approved),,,SATISFACTORILY (adv),SATISFACTORILY (adv),,MAKE SURE THAT THE UNIT OPERATES SATISFACTORILY.,Make sure the unit operates efficiently.,2-1-E3
efflux,n,Non-STE (not approved),,,EXHAUST (n),EXHAUST (n),,MAKE SURE THAT THERE ARE SAFETY BARRIERS AROUND THE ENGINE EXHAUST AREA.,Ensure that there are safety barriers around the engine efflux area.,2-1-E3
effort,n,Non-STE (not approved),,,FORCE (TN) | TRY (v),FORCE (TN) TRY (v),,"DO NOT TIGHTEN THE BOLTS WITH TOO MUCH FORCE. | FIRST, TRY TO TURN THE SHAFT WITH YOUR HANDS.","Do not use too much effort to tighten the bolts. | First, make an effort to turn the shaft with your hands.",2-1-E3
either,adj,Non-STE (not approved),,,ONE (TN) OF THE TWO (TN),ONE (TN) OF THE TWO (TN),,"IF THERE IS MERCURY CONTAMINATION IN ONE OF THE TWO COMPARTMENTS, CLEAN THE AREA IMMEDIATELY.","If there is mercury spillage in either compartment, clean the area immediately.",2-1-E3
either,conj,Non-STE (not approved),,,OR (conj),OR (conj),,YOU CAN USE A RED PEN OR A GREEN PEN.,You can use either a red pen or a green pen.,2-1-E3
either,pron,Non-STE (not approved),,,ONE (TN) OR THE OTHER,ONE (TN) OR THE OTHER,,THERE ARE TWO SOLENOIDS. | YOU CAN SUPPLY ELECTRICAL POWER TO ONE OR THE OTHER.,There are two solenoids. | You can supply electrical power to either.,2-1-E3
EJECT,v,STE (approved),"EJECTS, EJECTED, EJECTED",To move or to cause a person or item to move from an aircraft or equipment with force,,To move or to cause a person or item to move from an aircraft or equipment with force,,"IF YOU PULL THE EJECTION SEAT HANDLE, THE SEAT WILL EJECT.",,2-1-E3
ejection,n,Non-STE (not approved),,,EJECT (v),EJECT (v),,PUSH THE APPLICABLE BUTTON TO EJECT THE DISK DRIVE.,Push the applicable button for disk drive ejection.,2-1-E3
elapse,v,Non-STE (not approved),,,TIME (n) | AFTER (prep) | INTERVAL (n),TIME (n) AFTER (prep) INTERVAL (n),,"MAKE SURE THAT THE TIME BETWEEN STARTS IS A MINIMUM OF 30 SECONDS. | AFTER 30 SECONDS, DO THE TEST AGAIN. | AT INTERVALS OF SIX MONTHS, DO THE CHECK OF THE OIL LEVEL.","Check that 30 seconds have elapsed between starts. | When 30 seconds have elapsed, do the test again. | When six months have elapsed, do the check of the oil level.",2-1-E4
ELECTRIC,adj,STE (approved),,Operated by electricity,,Operated by electricity,,"IF THE HYDRAULIC PUMP DOES NOT SUPPLY A PRESSURE OF 3000 psi, USE THE ELECTRIC PUMP.",,2-1-E4
ELECTRICAL,adj,STE (approved),,Related to electricity,,Related to electricity,,SUPPLY ELECTRICAL POWER TO THE SYSTEM.,,2-1-E4
ELECTRICALLY,adv,STE (approved),,Related to or operated by electricity,,Related to or operated by electricity,,THE SYSTEM IS HYDRAULICALLY OPERATED AND ELECTRICALLY CONTROLLED.,,2-1-E4
ELECTROMAGNETIC,adj,STE (approved),,Related to electromagnetism,,Related to electromagnetism,,THE ELECTROMAGNETIC TEST PROCEDURE USES ELECTROMAGNETIC FORCE.,,2-1-E4
ELECTROMAGNETICALLY,adv,STE (approved),,Related to electromagnetism,,Related to electromagnetism,,THE SYSTEM OPERATES ELECTROMAG- NETICALLY.,,2-1-E4
ELECTRONIC,adj,STE (approved),,Related to or operated by electronics,,Related to or operated by electronics,,THIS BAY CONTAINS SOME OF THE ELECTRONIC EQUIPMENT.,,2-1-E4
ELECTRONICALLY,adv,STE (approved),,Related to or operated by electronics,,Related to or operated by electronics,,THIS UNIT IS ELECTRONICALLY CONTROLLED.,,2-1-E4
eliminate,v,Non-STE (not approved),,,REMOVE (v) | STOP (v) | PREVENT (v),REMOVE (v) STOP (v) PREVENT (v),,REMOVE ALL SHARP EDGES. | PUT A BAG OF DESICCANT IN THE PACKAGE TO STOP CONDENSATION. | PUT A BAG OF DESICCANT IN THE PACKAGE TO PREVENT CONDENSATION.,Eliminate all sharp edges. | Put a bag of desiccant in the package to eliminate condensation. | Put a bag of desiccant in the package to eliminate condensation.,2-1-E5
EMERGENCY,n,STE (approved),,A condition that occurs suddenly and is dangerous,,A condition that occurs suddenly and is dangerous,,"IN AN EMERGENCY, BREAK THE GLASS.",,2-1-E5
emit,v,Non-STE (not approved),,,FROM (prep),FROM (prep),,THE VAPORS FROM THIS MATERIAL ARE DANGEROUS TO THE SKIN.,The vapors that this material emits are dangerous to the skin.,2-1-E5
employ,v,Non-STE (not approved),,,USE (v) | HAVE (v),USE (v) HAVE (v),,TYPE B UNITS USE A LOOSE COLLAR. | THIS ASSEMBLY MACHINE HAS ROBOTIC ARMS.,Type B units employ a loose collar. | This assembly machine employs robotic arms.,2-1-E5
EMPTY,adj,STE (approved),,Without contents,,Without contents,,MAKE SURE THAT THE RESERVOIR IS EMPTY.,,2-1-E5
empty,v,Non-STE (not approved),,,REMOVE (v),REMOVE (v),,REMOVE ALL FUEL FROM THE FUEL TANKS.,Empty the fuel tanks.,2-1-E5
enable,v,Non-STE (not approved),,,LET (v),LET (v),,THE DISASSEMBLY FIXTURE LETS YOU DISASSEMBLE THE MODULE.,The disassembly fixture enables you to disassemble the module.,2-1-E5
encircle,v,Non-STE (not approved),,,AROUND (prep),AROUND (prep),,PUT SEALANT AROUND EACH SCREW HOLE.,Encircle each screw hole with sealant.,2-1-E5
enclosed,adj,Non-STE (not approved),,,CLOSED (adj),CLOSED (adj),,"IF YOU USE SOLVENT IN A CLOSED SPACE, MAKE SURE THAT THERE IS GOOD AIRFLOW IN THE WORK AREA.",The work area must be well-ventilated if solvent is used in an enclosed space.,2-1-E5
encounter,v,Non-STE (not approved),,,BE (v) | FIND (v),BE (v) FIND (v),,"IF THERE ARE ROUGH AREAS, REMOVE THEM WITH EMERY CLOTH. | IF YOU FIND ROUGH AREAS, REMOVE THEM WITH EMERY CLOTH.","If rough spots are encountered, remove them with emery cloth. | If rough spots are encountered, remove them with emery cloth.",2-1-E6
END,n,STE (approved),,"Where time, distance, or sequence are completed",,"Where time, distance, or sequence are completed",,EXAMINE THE SHACKLE AT THE END OF THE SLING.,,2-1-E6
end,v,Non-STE (not approved),,,STOP (v) | COMPLETE (v),STOP (v) COMPLETE (v),,"STOP THE TEST. | WHEN YOU COMPLETED THE TEST, REMOVE THE SENSOR. | WHEN THE TEST IS COMPLETED, REMOVE THE SENSOR.","End the test. | When the test has ended, remove the sensor. | When the test has ended, remove the sensor.",2-1-E6
ENERGIZE,v,STE (approved),"ENERGIZES, ENERGIZED, ENERGIZED",To supply electrical power to,,To supply electrical power to,,ENERGIZE THE AC AND DC BUSBARS.,,2-1-E6
enforce,v,Non-STE (not approved),,,OBEY (v),OBEY (v),,ALL PERSONNEL MUST OBEY THE SAFETY PRECAUTIONS.,Safety precautions must be enforced.,2-1-E6
ENGAGE,v,STE (approved),"ENGAGES, ENGAGED, ENGAGED",To correctly align and come together,,To correctly align and come together,,ENGAGE THE CLUTCH. | MAKE SURE THAT THE CLUTCH ENGAGES.,,2-1-E6
engagement,n,Non-STE (not approved),,,ENGAGE (v),ENGAGE (v),,MAKE SURE THAT THE SPLINES ENGAGE FULLY.,Make sure there is full engagement of the splines.,2-1-E6
enlarge,v,Non-STE (not approved),,,INCREASE (v) | LARGE (adj),INCREASE (v) LARGE (adj),,INCREASE THE DIAMETER OF THE RIVET HOLE. | MAKE THE HOLES LARGER.,Enlarge the rivet hole diameter. | Enlarge the holes.,2-1-E6
enough,adj,Non-STE (not approved),,,SUFFICIENT (adj),SUFFICIENT (adj),,MAKE SURE THAT THERE IS SUFFICIENT PRESSURE IN THE ACCUMULATOR.,Make sure that there is enough pressure in the accumulator.,2-1-E7
ensue,v,Non-STE (not approved),,,CAUSE (v),CAUSE (v),,INCORRECT INSTALLATION WILL CAUSE DAMAGE.,Damage will ensue from incorrect installation.,2-1-E7
ensure,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,MAKE SURE THAT THE CORRECT SEALS ARE INSTALLED.,Ensure that the correct seals are installed.,2-1-E7
enter,v,Non-STE (not approved),,,GO INTO | RECORD (v) | ENTRY (n),GO INTO RECORD (v) ENTRY (n),,DO NOT GO INTO THE LABORATORY WITHOUT APPROVAL. | RECORD THE DATA IN THE LOGBOOK. | MAKE AN ENTRY IN THE LOGBOOK TO SHOW THAT YOU DID THE DEACTIVATION PROCEDURE.,Do not enter the laboratory without approval. | Enter the data in the logbook. | Enter in the logbook that you did the deactivation procedure.,2-1-E7
entire,adj,Non-STE (not approved),,,FULL (adj) | ALL (adj),FULL (adj) ALL (adj),,THE ANTENNA MAKES A SCAN OF THE FULL RANGE OF FREQUENCIES. | EXAMINE ALL OF THE SYSTEM TO FIND THE CAUSE OF THE INTERFERENCE.,The antenna makes a scan of the entire range of frequencies. | Check the entire system to determine the cause of interference.,2-1-E7
entirely,adv,Non-STE (not approved),,,FULLY (adv),FULLY (adv),,THE SYSTEM IS FULLY AUTOMATIC.,The system is entirely automatic.,2-1-E7
ENTRANCE,n,STE (approved),,An opening to go into a space,,An opening to go into a space,,PUT SAFETY BARRIERS AT THE ENTRANCE TO THE WORK AREA.,,2-1-E7
ENTRY,n,STE (approved),,A record of an occurrence,,A record of an occurrence,,MAKE AN ENTRY IN THE LOG CARD.,,2-1-E8
EQUAL,adj,STE (approved),,"The same dimension, quality, quantity, or number",,"The same dimension, quality, quantity, or number",,MAKE SURE THAT THERE IS AN EQUAL DISTANCE BETWEEN THE HOLES.,,2-1-E8
equal,v,Non-STE (not approved),,,SAME (adj) | EQUAL (adj),SAME (adj) EQUAL (adj),,DIMENSION “X” MUST BE THE SAME AS DIMENSION “Z.” DIMENSION “X” MUST BE EQUAL TO DIMENSION “Y.”,Dimension X must equal dimension Z. | Dimension X must equal dimension Y.,2-1-E8
EQUALLY,adv,STE (approved),,"The same dimension, quality, quantity, or number",,"The same dimension, quality, quantity, or number",,ADJUST THE TURNBUCKLES EQUALLY.,,2-1-E8
equip,v,Non-STE (not approved),,,INSTALL (v),INSTALL (v),,INSTALL THE SHUTOFF VALVES ON EACH HP MANIFOLD.,Equip each HP manifold with shutoff valves.,2-1-E8
EQUIPMENT,n,STE (approved),,The objects or tools used for operation and maintenance,,The objects or tools used for operation and maintenance,,REMOVE ALL THE EQUIPMENT FROM THE WORK AREA.,,2-1-E8
equipped,adj,Non-STE (not approved),,,HAVE (v),HAVE (v),,BE CAREFUL WHEN YOU MOVE JET PIPES OR EXHAUST CONES THAT HAVE INSULATING BLANKETS.,Be careful when handling jet pipes or exhaust cones equipped with insulating blankets.,2-1-E8
EQUIVALENT,adj,STE (approved),,"Has the same properties, functions, or values",,"Has the same properties, functions, or values",,MATERIALS (REF. | No. | 2) AND (REF. | No. | 18) ARE EQUIVALENT.,,2-1-E8
EQUIVALENT,n,STE (approved),,"Something that has the same properties, functions, or values",,"Something that has the same properties, functions, or values",,"USE CLEANING COMPOUND ARDROX 6025, OR AN EQUIVALENT.",,2-1-E8
ERASE,v,STE (approved),"ERASES, ERASED, ERASED",To remove data from a medium,,To remove data from a medium,,ERASE THE TAPE.,,2-1-E8
erect,v,Non-STE (not approved),,,ASSEMBLE (v) | BECOME STABLE,ASSEMBLE (v) BECOME STABLE,,"BEFORE YOU LIFT THE GEARBOX, ASSEMBLE THE MOVABLE HOIST. | LET THE VERTICAL GYRO BECOME STABLE.",Erect the movable hoist before lifting the gearbox. | Give the vertical gyro time to erect.,2-1-E9
erratic,adj,Non-STE (not approved),,,IRREGULAR (adj),IRREGULAR (adj),,THE OPERATION OF THE COMPASS IS IRREGULAR.,The compass is erratic.,2-1-E9
ERROR,n,STE (approved),,The difference from that which is correct or accurate,,The difference from that which is correct or accurate,,"IF THE ERROR IS MORE THAN 3 DEG., CALIBRATE THE COMPASS.",,2-1-E9
escape,v,Non-STE (not approved),,,DEFLATE (v) | RELEASE (v),DEFLATE (v) RELEASE (v),,DEFLATE THE TIRE. | RELEASE ALL THE NITROGEN.,Let the air escape from the tire. | Allow all the nitrogen to escape.,2-1-E9
establish,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,"IN THE STEP THAT FOLLOWS, MAKE SURE THAT THE FUEL PUMP OPERATES CORRECTLY.","In the following step, establish the correct functioning of the fuel pump.",2-1-E9
ESTIMATE,n,STE (approved),,"A calculated, approximate result",,"A calculated, approximate result",,MAKE AN ESTIMATE OF THE NECESSARY QUANTITY OF PAINT.,,2-1-E9
estimate,v,Non-STE (not approved),,,ESTIMATE (n),ESTIMATE (n),,MAKE AN ESTIMATE OF THE QUANTITY OF CLEANING FLUID THAT IS NECESSARY.,Estimate the amount of cleaning fluid that is necessary.,2-1-E9
evaluate,v,Non-STE (not approved),,,EXAMINE (v) | ANALYSIS (TN),EXAMINE (v) ANALYSIS (TN),,EXAMINE THE DAMAGE AFTER AN ACCIDENT. | MAKE AN ANALYSIS OF THE TEST RESULTS.,Evaluate the damage after an accident. | Evaluate the test results.,2-1-E9
evaluation,n,Non-STE (not approved),,,EXAMINE (v) | ANALYSIS (TN),EXAMINE (v) ANALYSIS (TN),,EXAMINE THE DAMAGE. | MAKE AN ANALYSIS OF THE TEST RESULTS.,Do an evaluation of the damage. | Do an evaluation of the test results.,2-1-E10
evaporate,v,Non-STE (not approved),,,DRY (v),DRY (v),,LET THE COMPOUND DRY.,Allow the solvent to evaporate from the compound.,2-1-E10
even,adj,Non-STE (not approved),,,SMOOTH (adj) | SAME (adj) | FLAT (adj) | FLUSH (adj) | LEVEL (adj),SMOOTH (adj) SAME (adj) FLAT (adj) FLUSH (adj) LEVEL (adj),,A GUIDE ROD IS ATTACHED TO THE METAL BELLOWS DISC FOR A SMOOTH MOVEMENT OF THE BELLOWS. | APPLY THE SAME LOAD ON THE TWO BRAKES. | MAKE SURE THAT THE SURFACE IS FLAT. | MAKE SURE THAT THE FASTENER HEADS ARE FLUSH WITH THE SKIN. | MAKE SURE THAT THE MARK ON THE BOLT IS LEVEL WITH THE MARK ON THE HANDLE.,A guide rod is attached to the metal bellows disc for an even movement of the bellows. | Braking must be even on the two brakes. | Ensure the surface is even. | Make sure that the fastener heads are even with the skin. | Make sure that the mark on the bolt is even with the mark on the handle.,2-1-E10
evenly,adv,Non-STE (not approved),,,GRADUALLY (adv) | EQUALLY (adv),GRADUALLY (adv) EQUALLY (adv),,INCREASE THE TEMPERATURE GRADUALLY. | APPLY THE LOAD EQUALLY ON THE AREA.,Increase the temperature evenly. | Apply the load evenly on the area.,2-1-E10
event,n,Non-STE (not approved),,,IF (conj),IF (conj),,"IF THE PRESSURE DECREASES SUDDENLY, CLOSE THE VALVE.","In the event of a sudden dropping of pressure, close the valve.",2-1-E10
eventually,adv,Non-STE (not approved),,,SOME TIME,SOME TIME,,"IF THE CABLE RUBS, IT WILL BREAK AFTER SOME TIME.","If the cable chafes, it will eventually break.",2-1-E10
every,adj,Non-STE (not approved),,,ALL (adj) | EACH (adj) | INTERVAL (n),ALL (adj) EACH (adj) INTERVAL (n),,REMOVE ALL SAFETY PINS BEFORE FLIGHT. | SET THE BTRY SWITCH TO “ON” EACH TIME. | DO AN INSPECTION AT INTERVALS OF 20 000 FLIGHT HOURS.,Every safety pin must be removed before flight. | It is necessary to set the BTRY switch to ON every time. | Do an inspection every 20 000 flight hours.,2-1-E11
