word,part_of_speech,other_forms,approved_meaning,guidance,ste_examples,page
ALTHOUGH,conj,,In spite of the fact that,,"ALTHOUGH THE PRESSURE DECREASES, THE VALVE MUST STAY CLOSED.",2-1-A13
ALWAYS,adv,,At all times,,ALWAYS KEEP THE BRIGHTNESS CONTROL ON THE LCD DISPLAY AT MAXIMUM.,2-1-A13
AN,art,,Function word: indefinite article,,MAKE AN ENTRY IN THE LOGBOOK.,2-1-A14
ANALOG,adj,,Of data given by pointers and dials,,THE PRE-MOD UNIT HAS ANALOG INDICATORS.,2-1-A14
AND,conj,,"Function word used to connect words, phrases, or clauses",,MAKE SURE THAT THE FLAPS ARE RETRACTED AND THE AILERON TRIM HANDWHEEL IS IN THE ZERO POSITION.,2-1-A15
ANGULAR,adj,,That has one or more angles,,MAKE SURE THAT THE ANGULAR POSITION IS CORRECT.,2-1-A15
APART,adv,,At a distance (not specified) from,,MOVE THE CABLE STRANDS APART.,2-1-A16
APPLICABLE,adj,,Correct or satisfactory for the task,,REFER TO THE TABLE THAT FOLLOWS FOR THE APPLICABLE TORQUE VALUES.,2-1-A17
APPLY,v,"APPLIES, APPLIED, APPLIED","1. To put or spread something on 2. To use something (for example, pressure, force, load) to cause an effect",,APPLY THE SEALING COMPOUND. | APPLY A FORCE OF 100 N ON THE END OF THE LEVER.,2-1-A17
APPROVAL,n,,That which permits a person or a thing to do something,,"BEFORE YOU REPAIR THIS UNIT, GET THE APPROVAL OF THE MANUFACTURER.",2-1-A17
APPROVED,adj,,Permitted by an authority,,DO THE PROCEDURE IN AN APPROVED AREA.,2-1-A17
APPROXIMATE,adj,,Almost correct or accurate,,AN APPROXIMATE VALUE IS SATISFACTORY.,2-1-A17
APPROXIMATELY,adv,,Almost correct or accurate,,DRAIN APPROXIMATELY 2 LITERS OF FUEL.,2-1-A18
AREA,n,,A specified surface or location,,DO NOT SMOKE IN THE WORK AREA.,2-1-A18
ARM,v,"ARMS, ARMED, ARMED",1. To install armaments 2. To prepare for automatic operation,,ARM THE AIRCRAFT. | SET THE SWITCH TO “CLOSE” TO ARM THE CIRCUIT.,2-1-A18
AROUND,prep,,On all sides of,"For other meanings, use:",PUT THE STRAP CLAMPS AROUND THE CYLINDER. | THE TEST BENCH IS APPROXIMATELY 10 FEET FROM THE DOOR.,2-1-A18
ARROW,n,,A mark that has a point to show direction,,MAKE SURE THAT THE ARROW POINTS IN THE DIRECTION OF THE FUEL FLOW.,2-1-A19
AS,prep,,"In the manner of, to the same quantity, equally",,DO NOT USE THE CYLINDER AS A SUPPORT.,2-1-A19
AS ... AS,conj,,Construction used to show comparison or relation,"For “as long as,” refer to “long (as long as).”",MOVE THE LEVER AS FAST AS POSSIBLE.,2-1-A19
ASSEMBLE,v,"ASSEMBLES, ASSEMBLED, ASSEMBLED","To attach, connect, or put together the parts of something",,ASSEMBLE THE VALVE AS FOLLOWS:,2-1-A20
ASSEMBLY,n,,Items that are connected for a specified function,,REMOVE THE WHEEL BRAKE ASSEMBLY FROM THE AXLE.,2-1-A20
AT,prep,,"Function word that shows the location, position, direction, or time that something occurs",,"DISCONNECT THE HOSE AT THE PITOT HEAD. | AT APPROXIMATELY 300 KNOTS, THE LIGHT COMES ON. | WITH THE NOSEWHEEL AT 30 DEG. | TO THE CENTER LINE, SET THE LEVER TO “UP.”",2-1-A21
ATTACH,v,"ATTACHES, ATTACHED, ATTACHED",To stay together or to cause different items to stay together,,MAKE SURE THAT THE LABEL FULLY ATTACHES TO THE SURFACE AND THAT THERE ARE NO BUBBLES. | TEMPORARILY ATTACH THE CABLE TO THE ADJACENT STRUCTURE.,2-1-A22
AUTHORITY,n,,An official organization that gives approval to something,,"BEFORE YOU CHANGE THE PROCEDURE, GET THE APPROVAL OF THE DESIGN AUTHORITY.",2-1-A23
AUTOMATIC,adj,,That operates without other input,,THE AUTOMATIC SYSTEM WILL OPEN THE DOORS.,2-1-A23
AUTOMATICALLY,adv,,That operates without other input,,THE FUEL FLOW STOPS AUTOMATICALLY.,2-1-A23
AUXILIARY,adj,,1. That operates in a secondary function 2. That gives help,,LUBRICANTS FOR THE ENGINE AND THE AUXILIARY EQUIPMENT ARE THE SAME. | USE AUXILIARY SCREWS TO ASSEMBLE THE UNIT TEMPORARILY.,2-1-A24
AVAILABLE,adj,,Prepared or supplied for you to use,,"IF ELECTRICAL POWER IS AVAILABLE, DO A CONTINUITY CHECK.",2-1-A24
AWAY FROM,prep,,In or to a different position or direction,,DO THE WORK IN AN AREA AWAY FROM EQUIPMENT OR METAL FRAME BUILDINGS.,2-1-A24
AXIAL,adj,,Related to an axis,,DO STEPS 1 THRU 4 TO MAKE SURE THAT NO AXIAL LOAD IS ON THE ROD.,2-1-A24
AXIALLY,adv,,Related to an axis,,APPLY THE LOAD AXIALLY.,2-1-A24
BACK,adv,,To an initial condition,,MOVE THE ENGINE THROTTLE BACK TO 60% RPM.,2-1-B1
BAD,adj,"WORSE, WORST",Not satisfactory,Do not use this word if more accurate and clear words are available.,"REFER TO CHAPTER 6 FOR INSTRUCTIONS ABOUT HOW TO PARK IN BAD WEATHER CONDITIONS. | IF THE LENGTH OF THE CRACK IS MORE THAN THE PERMITTED LIMIT, REPLACE THE PART.",2-1-B1
BALANCE,v,"BALANCES, BALANCED, BALANCED",To make equal,,BALANCE THE ELECTRICAL LOADS ON EACH GENERATOR.,2-1-B2
BARE,adj,,Without a surface layer or protection,,BARE METAL SURFACES ARE USUALLY SATISFACTORY FOR AN ELECTRICAL BOND.,2-1-B2
BASIC,adj,,Approved minimum,,THIS MODIFICATION CHANGES THE BASIC CONFIGURATION OF THE SYSTEM.,2-1-B2
BE,v,"IS, WAS, (also ARE, WERE)","1. To occur, exist 2. To have a property, to be equal to",No other verb forms.,"IF THERE IS CORROSION ON THE PUMP VANES, REPLACE THE PUMP. | ACID SOLUTIONS ARE DANGEROUS.",2-1-B3
BECAUSE,conj,,As a result of,,"BECAUSE THE FLUID LEVEL IS INCORRECT, THE SYSTEM WILL NOT OPERATE.",2-1-B3
BECAUSE OF,prep,,As a result of,,"IF YOU CANNOT REMOVE A BOLT BECAUSE OF CORROSION, APPLY PENETRATING OIL.",2-1-B3
BECOME,v,"BECOMES, BECAME",To come to be,No other verb forms.,THE SCREEN BECOMES AVAILABLE.,2-1-B3
BEFORE,conj,,"That precedes a specified time, sequence, or operation",,"BEFORE YOU DISCONNECT THE COMPONENTS, BLEED THE SYSTEM.",2-1-B3
BEFORE,prep,,"That precedes a specified time, sequence, or operation",,THE BAR MOVES DOWN BEFORE 20 SECONDS.,2-1-B3
BEHIND,prep,,In a position at the rear of,,THE PUMP IS INSTALLED BEHIND THE HYDRAULIC MOTOR.,2-1-B4
BELOW,prep,,In (or to) a position farther down than something LESS THAN,"For other meanings, use:",THE DATE IS WRITTEN BELOW THE CYLINDER NECK. | MAKE SURE THAT THE DIAMETER OF THE HOLE IS LESS THAN THE SPECIFIED VALUE.,2-1-B4
BEND,n,,The area where something is bent,,EXAMINE THE BENDS FOR CRACKS.,2-1-B4
BEND,v,"BENDS, BENT, BENT",To change or cause to change from straight to curved,,"BEND THE PIPE CAREFULLY. | THESE PARTS CAN EASILY BEND, BREAK OR BECOME INCORRECTLY ALIGNED.",2-1-B4
BETWEEN,prep,,Related to something before and after in time or position,,MAKE SURE THAT THE STOPWATCH INDICATION IS BETWEEN 2 AND 4 MINUTES.,2-1-B5
BLEED,v,"BLEEDS, BLED, BLED",To let a gas out of,,BLEED THE SPEEDBRAKE HYDRAULIC SYSTEM.,2-1-B5
BLOCKAGE,n,,That which prevents correct operation,,MAKE SURE THAT THERE IS NO BLOCKAGE OF THE PIPE.,2-1-B6
BLOCKED,adj,,That prevents correct operation,,A BLOCKED OIL JET CAN CAUSE INCORRECT OPERATION.,2-1-B6
BLOW,v,"BLOWS, BLEW, BLOWN",To cause gas to move,,BLOW DRY AIR THROUGH THE FEED TUBES.,2-1-B6
BLUNT,adj,,Not sharp,,REMOVE THE SEALANT WITH A BLUNT SCRAPER.,2-1-B6
