verb,other_forms,approved_meaning,ste_examples,page
LOOSEN,"LOOSENS, LOOSENED, LOOSENED",To cause to be not tight,LOOSEN THE SCREWS THAT ATTACH THE CLAMP TO THE SUPPORT.,2-1-L10
REPLACE,"REPLACES, REPLACED, REPLACED",To remove an item and to install a new or serviceable item of the same type,REPLACE THE RELAY.,2-1-R11
USE,"USES, USED, USED",To make something do its specified function,"IN THIS STEP, USE AUXILIARY SCREWS. | USE A SPECIAL CONTAINER FOR STORAGE. | DURING THE CLEANING PROCEDURE, DO NOT USE HIGH PRESSURE.",2-1-U8
CHANGE,,That which occurs when something changes,THE COLOR CHANGE SHOWS THAT THE TEMPERATURE IS TOO HIGH.,2-1-C5
FEATHER,"FEATHERS, FEATHERED, FEATHERED",To put a propeller to a position of minimum drag,PUT THE CONDITION LEVER IN THE FTR POSITION TO FEATHER THE PROPELLER.,2-1-F5
LOWER,"LOWERS, LOWERED, LOWERED",To move something down,LOWER THE ANTENNA TO GET ACCESS TO THE CABLE CONNECTOR.,2-1-L10
RETRACT,"RETRACTS, RETRACTED, RETRACTED",1. To pull in(to) 2. To move in(to),RETRACT THE LANDING GEAR. | THE NOSE LANDING GEAR RETRACTS INTO THE FUSELAGE.,2-1-R14
CHARGE,"CHARGES, CHARGED, CHARGED",To accumulate or add electrical energy,CHARGE THE BATTERY. | MAKE SURE THAT THE BATTERY CHARGES. | FILL THE TANK WITH 10 LITERS OF METHANOL. | PRESSURIZE THE ACCUMULATOR WITH NITROGEN.,2-1-C6
FEEL,"FEELS, FELT, FELT",To touch to find,CAREFULLY LIFT THE MAGNETIC LEVEL INDICATOR UNTIL YOU FEEL THE MAGNETS.,2-1-F5
LUBRICATE,"LUBRICATES, LUBRICATED, LUBRICATED",To apply lubricant,LUBRICATE THE O-RINGS WITH HYDRAULIC FLUID.,2-1-L10
RUB,"RUBS, RUBBED, RUBBED",To move or cause something to move with pressure and friction along a surface,RUB THE SURFACE WITH A CLEAN CLOTH. | MAKE SURE THAT THE COILS OF THE OXYGEN HOSE DO NOT RUB TOGETHER.,2-1-R17
CLEAN,,That does not include dirt or unwanted material,MAKE SURE THAT THE AREA IS CLEAN.,2-1-C8
FILL,"FILLS, FILLED, FILLED","To put into a container or a space to the maximum level or, if specified, to a given level, pressure, or quantity",FILL THE TANK WITH METHANOL. | MAKE SURE THAT THE RESERVOIR FILLS WITH WATER.,2-1-F5
WAIT,"WAITS, WAITED, WAITED",To stop doing something while another thing occurs.,(1) IF THE STATUS OF THE FAULT IS “NOT CONFIRMED”: (a) OPEN THE APPLICABLE CIRCUIT BREAKER. (b) WAIT FOR 4 MINUTES. (c) DO THE BITE TEST.,2-1-W1
CLOSE,"CLOSES, CLOSED, CLOSED","1. To move together, or to move to a position that stops or prevents materials from going in or out 2. To operate a circuit breaker to make an electrical circuit",CLOSE THE INSTRUMENT PANEL. | MAKE SURE THAT THE DOORS CLOSE FULLY. | MAKE SURE THAT THE CIRCUIT BREAKER IS CLOSED. | MAKE SURE THAT THE CIRCUIT BREAKER CLOSES.,2-1-C10
FIND,"FINDS, FOUND, FOUND","To discover, to examine something so that you know",YOU CAN FIND THE NUMBERS ON THE SWITCH.,2-1-F6
MAKE,"MAKES, MADE, MADE","To manufacture, to cause to occur or to become",MAKE A RECESS FOR THE STUDS OF 5 mm. | MAKE THE CLOTH MOIST WITH WATER. | TILT THE FITTING TO MAKE THE BARREL NUT FALL OUT OF IT.,2-1-M2
SAFETY,,A condition that is safe,"FOR YOUR SAFETY, ALWAYS USE A PROTECTIVE MASK.",2-1-S1
WALK,"WALKS, WALKED, WALKED",To move on foot from one location to a different location,DO NOT WALK ON THIS AREA.,2-1-W1
COLLECT,"COLLECTS, COLLECTED, COLLECTED","To come, or cause to come, together in one location",FLUID COLLECTS IN THE BOTTOM OF THE COWLING. | COLLECT ALL LOOSE ITEMS AND PUT THEM IN THE CONTAINER.,2-1-C11
FIRE,,The light and/or heat from a material when it burns,"IF THERE IS A FIRE IN THE ENGINE COMPARTMENT, YOU WILL HEAR THE GONG.",2-1-F6
MAKE SURE,"MAKES SURE, MADE SURE, MADE SURE",To verify and/or do the necessary steps,MAKE SURE THAT NO LEAK DETECTION FLUID GOES INTO THE OXYGEN SYSTEM.,2-1-M2
SCHEDULE,"SCHEDULES, SCHEDULED, SCHEDULED",To plan something in a time or a sequence,SCHEDULE THE CHECKS OF THE TIRES AT REGULAR INTERVALS.,2-1-S2
WANT,"WANTS, WANTED, WANTED","To intend, to desire","RECORD THE NAME OF THE FILE THAT YOU WANT TO DOWNLOAD. | IF YOU WANT TO STOP THE PROCEDURE, RECORD THE NUMBER OF THE LAST COMPLETED STEP.",2-1-W1
COME,"COMES, CAME",To move to your location,FUMES MUST NOT COME INTO THE CABIN.,2-1-C12
FLASH,"FLASHES, FLASHED, FLASHED",To come on and go off frequently,THE RED LIGHTS FLASH IN HALF-SECOND INTERVALS.,2-1-F8
MEASURE,"MEASURES, MEASURED, MEASURED","To find the dimensions, capacity, or quantity of something",MEASURE THE LOAD.,2-1-M5
SEAL,,Something that prevents access or leaks,APPLY SEALANT TO THE FILLET SEALS.,2-1-S3
WEAR,"WEARS, WORE, WORN",To become damaged by friction,"THE CABLE CAN WEAR QUICKLY IN THIS POSITION. | DURING THE SOLDERING PROCEDURE, USE A PROTECTIVE SHIELD. | WHEN YOU USE THE SOLVENT, PUT ON PROTECTIVE CLOTHING.",2-1-W2
COME ON,"COMES ON, CAME ON",To become bright with light when an internal power source is energized,THE LIGHTS MUST COME ON.,2-1-C12
FLOW,,A continuous movement of fluid,AN ARROW ON THE FUEL VALVE SHOWS THE DIRECTION OF THE FLOW.,2-1-F9
MELT,"MELTS, MELTED, MELTED",To change or to cause something to change from solid to liquid because of heat,THE FUSIBLE PLUGS MUST MELT IN 20 SECONDS OR LESS. | DO NOT USE A FLAME TO MELT THE ICE.,2-1-M6
SEE,"SEES, SAW, SEEN",To know with the eyes,MAKE SURE THAT YOU CAN SEE THE CABLE THROUGH THE INSPECTION HOLE. | REFER TO TABLE 8001 FOR THE APPLICABLE TORQUE VALUES. | EXAMINE THE MEMBRANE FOR HOLES. | MOVE THE TUBE TO MAKE SURE THAT ITS INNER CONNECTION IS TIGHT.,2-1-S5
WEIGH,"WEIGHS, WEIGHED, WEIGHED",1. To measure the weight of something 2. To have a specified weight,WEIGH THE TWO PARTS OF THE COMPOUND. | THE UNIT WEIGHS 20 kg.,2-1-W3
COMPARE,"COMPARES, COMPARED, COMPARED",To examine for differences,COMPARE THE TWO VALUES.,2-1-C13
FLUSH,,Of a surface that is level or continuous with another surface,MAKE SURE THAT THE DOOR IS FLUSH WITH THE FUSELAGE SKIN.,2-1-F9
MIX,"MIXES, MIXED, MIXED",1. To put together two or more materials to become one 2. To become combined,"MIX THE COMPOUND. | IF FUEL AND WATER MIX, CONTAMINATION CAN OCCUR.",2-1-M7
SELECT,"SELECTS, SELECTED, SELECTED",To make a choice,SELECT THE HYDRAULIC SYSTEM THAT YOU WILL PRESSURIZE. | SELECT A LANGUAGE FROM THE MENU. | SET THE SWITCH TO “TEST.”,2-1-S6
WILL,,Auxiliary modal verb that shows simple future tense,WARNINGS AND CAUTIONS IN THIS MANUAL WILL HELP YOU TO DO THE WORK SAFELY AND CORRECTLY.,2-1-W5
COMPLETE,"COMPLETES, COMPLETED, COMPLETED",To bring to an end,COMPLETE THE FUNCTIONAL TEST.,2-1-C14
FOLD,"FOLDS, FOLDED, FOLDED",To double over or to cause to double over on itself,DISENGAGE THE UPPER AND LOWER GUIDE ARMS AND FOLD THEM BACK. | THE BICYCLE CAN FOLD FOR EASY STORAGE.,2-1-F9
MONITOR,"MONITORS, MONITORED, MONITORED",To do a check at something for a period of time to find if there is a change,MONITOR THE INDICATORS ON THE OVERHEAD PANEL. | HEAT SENSORS MONITOR THE AMBIENT TEMPERATURE.,2-1-M8
SEND,"SENDS, SENT, SENT",To cause to go,SEND THE FILTER ELEMENT TO THE MAINTENANCE SHOP FOR THE NECESSARY INSPECTION.,2-1-S6
WIND,"WINDS, WOUND, WOUND",To move around and around an object,WIND THE TAPE ON THE REEL.,2-1-W5
COMPRESS,"COMPRESSES, COMPRESSED, COMPRESSED",To decrease or cause to decrease in dimension or volume,"COMPRESS THE SPRING AND CAREFULLY INSTALL THE COVER. | WHEN THE SPRING COMPRESSES, THE VALVE OPENS.",2-1-C15
FOLLOW,"FOLLOWS, FOLLOWED, FOLLOWED","To come after, to go after","THIS TEST FOLLOWS THE INSTALLATION OF THE HP PUMP. | DO THE PROCEDURE THAT FOLLOWS. | FOLLOW THE GREEN LIGHTS TO THE NEAREST STAIRCASE. | WHEN YOU USE THIS MATERIAL, OBEY THE MANUFACTURER’S INSTRUCTIONS.",2-1-F10
MOOR,"MOORS, MOORED, MOORED",To hold something in position with ropes and cables,"IN BAD WEATHER CONDITIONS, MOOR THE BOAT.",2-1-M9
SENSE,"SENSES, SENSED, SENSED",To get an input automatically,THE TEMPERATURE BULB SENSES THE EXTERNAL AIR TEMPERATURE.,2-1-S6
WRITE,"WRITES, WROTE, WRITTEN","To record data or information as words, letters, or symbols",WRITE THE TEST DATE ON THE CERTIFICATE.,2-1-W7
CONNECT,"CONNECTS, CONNECTED, CONNECTED",To come together or cause to come together to make one unit or system,CONNECT THE ELECTRICAL CONNECTORS TO THE INSTRUMENT. | PLUG “A” CONNECTS TO SOCKET “B.”,2-1-C17
FREEZE,"FREEZES, FROZE, FROZEN",To go or cause to go to a temperature below the freezing point of a liquid (usually of water),"FREEZE THE BUSHINGS AS FOLLOWS: IF YOU THINK THAT THE WATER WILL FREEZE, ADD ANTIFREEZE.",2-1-F13
MOVE,"MOVES, MOVED, MOVED",To change or cause to change position or location,MAKE SURE THAT THE POINTER MOVES FREELY. | MOVE THE VALVE UNTIL IT ALIGNS WITH THE ACTUATOR SHAFT.,2-1-M10
SET,,A group of related items that you (can) use for the same purpose,USE THE SET OF TOOLS THAT IS SUPPLIED WITH THE UNIT.,2-1-S8
CONTACT,"CONTACTS, CONTACTED, CONTACTED",To start communication,CONTACT CUSTOMER SERVICES. | TIGHTEN THE FIXTURE SCREW UNTIL IT TOUCHES THE SURFACE.,2-1-C18
MULTIPLY,"MULTIPLIES, MULTIPLIED, MULTIPLIED",To use multiplication to get a result,MULTIPLY THE INDICATOR VALUE BY THE SCALE VALUE. | THE NUMBER OF CRACKS CAN INCREASE.,2-1-M10
SHAKE,"SHAKES, SHOOK, SHAKEN",To move or cause to move quickly up and down or from side to side,SHAKE THE CONTAINER. | THE CONTROL COLUMN STARTS TO SHAKE BEFORE A STALL OCCURS.,2-1-S9
CONTAIN,"CONTAINS, CONTAINED, CONTAINED",To have in something or hold in something,EACH SURVIVAL KIT CONTAINS THESE ITEMS:,2-1-C19
GET,"GETS, GOT","To obtain, to come into the state of having","IF YOU GET THE FLUID ON YOUR SKIN, FLUSH YOUR SKIN IMMEDIATELY WITH CLEAN WATER.",2-1-G4
MUST,,Auxiliary modal verb that shows obligation,THE BAT 1 SWITCH MUST BE IN THE ON POSITION.,2-1-M10
SHOW,"SHOWS, SHOWED, SHOWN",1. To cause to be seen 2. To be in view or come into view,THE INDICATOR SHOWS THE LEVEL OF BATTERY CHARGE. | THE SYMBOL SHOWS ON THE SCREEN.,2-1-S11
CONTINUE,"CONTINUES, CONTINUED, CONTINUED",To stay or keep in current condition or operation,"CONTINUE THE TEST. | IF THE LOW PRESSURE CONDITION CONTINUES, REPLACE THE UNIT.",2-1-C19
GIVE,"GIVES, GAVE, GIVEN",To provide,THIS SECTION GIVES THE CLEANING PROCEDURES FOR THE DISASSEMBLED PARTS.,2-1-G5
SIMULATE,"SIMULATES, SIMULATED, SIMULATED",To make a condition that is the same as one that can occur in operation,SIMULATE A WHEEL SPEED OF 80 KNOTS.,2-1-S12
